Allons boire un coup,Let’s go have a drink
"Oh, mes amis","Oh, my friends"
Allons tous boire un coup,Let’s all go have a drink
Vingt-cinq sous la demi,Twenty–five cents for a half quart
Cinquante sous le quart,Fifty cents for a quart
Un piaster et demi paye le demi-gallon,One dollar fifty pays for a half gallon
"Oh mes amis, chers","Oh, my dear friends"
Ça coute rien du tout,It costs nothing at all
"Oh, moi, je m’en fou pas mal","Oh, I don’t care"
allons boire un ‘tit coup quand même,let’s go drink anyway!
Passes-moi la jogue,Pass me the jug
allons boire un ‘tit drink avant de mourir,let’s go have a little drink before we die!
Hier au soir mon j’ai été au bal c’était pour voir tous mes camarades.,Last night I went to the dance to see all my friends
"Quand j’suis arrive, je m’ai mis à la bar, J’ai ordonné une bouteille de whiskey.","When I got there, I sat at the bar and I ordered a bottle of whiskey"
Whiskey c’est mon ami.,Whiskey is my friend
J’vas boire ca proche toute ma vie,I’m going to drink almost all of my life
Et ma femme m’a toujours dit de plus boire ce bon vieux whiskey.,And my wife is always telling me to stop
Ça fait ma tête tourner comme une toupie,It makes my head spin ‘round like a top
"Ayoù ‘ce-que t’es parti, ouais, mon bon vieux mari?",Where have you gone my good old husband?
"Ayoù ‘ce-que t’es parti, qui m’appelle amour?","Where have you gone, the one who calls me “love”"
"Ayoù ‘ce-que t’es parti, ouais, mon bon vieux mari, qui est le meilleur buveur du pays?","Where have you gone my good old husband, who is the best drinker in the land?"
"Mais chère , j’suis parti au bar. Mon, j’vas me saouler.","Well dear, I’m gone to the bar. I’m going to get drunk."
"Mais quand tu vas revenir, ouais, mon bon vieux mari?","But when will you return, my good old husband?"
"Mais quand tu vas revenir, qui m’appelle amour?","But when will you return, the one who calls me “love”"
"Mais quand tu vas revenir, ouais, mon bon vieux mari, qui est le meilleur buveur du pays?","But when will you return, my good old husband, who is the best drinker in the land?"
"Oh, mais, je n’connais pas! Demain. Un autre jour peut-être...","Oh, I don’t know. Tomorrow... Some other day, maybe..."
"Quoi c’est tu veux que je te cuis, ouais, mon bon vieux mari?","What do you want me to cook you, my good old husband?"
Quoi c’est tu veux je te cuis qui m’appelle amour?,"What do you want me to cook you, the one who calls me “love”"
"Quoi c’est tu veux je te cuis, ouais, mon bon vieux mari, qui est le meilleur buveur du pays?","What do you want me to cook you, my good old husband, who is the best drinker in the land?"
